TeamPair,MeanActualScores,MeanPredictedScores,MeanAbsoluteError,MatchCount
Los Angeles Clippers (cyber) - Los Angeles Lakers (cyber),200.42307692307693,202.6340228719306,7.7513881341431645,26.0
Los Angeles Clippers (cyber) - Memphis Grizzlies (cyber),191.2,198.38839666315624,10.722320667368752,5.0
Los Angeles Clippers (cyber) - Minnesota Timberwolves (cyber),196.41379310344828,195.7625293482318,8.871985794644674,29.0
Los Angeles Clippers (cyber) - Phoenix Suns (cyber),207.21428571428572,205.64632403685133,8.5,14.0
Los Angeles Clippers (cyber) - Sacramento Kings (cyber),207.72727272727272,208.5650342549812,8.5849968859108,11.0
Los Angeles Lakers (cyber) - Denver Nuggets (cyber),209.25,208.5038782219634,7.25,20.0
Los Angeles Lakers (cyber) - Golden State Warriors (cyber),202.27272727272728,203.16304650993843,10.014822409994402,22.0
Los Angeles Lakers (cyber) - Los Angeles Clippers (cyber),201.56,201.33185981730534,8.146725607307786,25.0
Los Angeles Lakers (cyber) - Memphis Grizzlies (cyber),207.16666666666666,202.33735384377147,10.42503247916189,18.0
Los Angeles Lakers (cyber) - Minnesota Timberwolves (cyber),198.0,197.98880145498939,9.416666666666666,24.0
Los Angeles Lakers (cyber) - Phoenix Suns (cyber),208.22222222222223,207.3619296076343,14.5153411547073,9.0
Los Angeles Lakers (cyber) - Sacramento Kings (cyber),205.64705882352942,209.5654645846191,10.74684669140337,17.0
Memphis Grizzlies (cyber) - Boston Celtics (cyber),199.7037037037037,199.6301550960485,8.161846107553762,27.0
Memphis Grizzlies (cyber) - Cleveland Cavaliers (cyber),199.8108108108108,201.1173975924646,8.74395050546053,37.0
Memphis Grizzlies (cyber) - Denver Nuggets (cyber),205.25,204.75698917715624,7.810752705710939,8.0
Memphis Grizzlies (cyber) - Golden State Warriors (cyber),197.13636363636363,199.05935835858898,9.780821594353046,44.0
Memphis Grizzlies (cyber) - Los Angeles Clippers (cyber),196.05882352941177,197.28582564375887,8.067207239336664,34.0
Memphis Grizzlies (cyber) - Los Angeles Lakers (cyber),203.94444444444446,201.8389564788323,8.804618364639055,36.0
