TeamPair,MeanActualScores,MeanPredictedScores,MeanAbsoluteError,MatchCount
Los Angeles Clippers (cyber) - Los Angeles Lakers (cyber),201.06896551724137,204.01554378275276,8.246203242923288,29.0
Los Angeles Clippers (cyber) - Memphis Grizzlies (cyber),190.16666666666666,198.25405511349933,11.166666666666666,6.0
Los Angeles Clippers (cyber) - Minnesota Timberwolves (cyber),196.43333333333334,196.75288436621702,8.683525624414472,30.0
Los Angeles Clippers (cyber) - Phoenix Suns (cyber),206.5625,205.0862214936433,8.8125,16.0
Los Angeles Clippers (cyber) - Sacramento Kings (cyber),210.46153846153845,208.7696744319137,9.822382823404531,13.0
Los Angeles Lakers (cyber) - Denver Nuggets (cyber),209.5909090909091,208.57179467247158,6.993473211593495,22.0
Los Angeles Lakers (cyber) - Golden State Warriors (cyber),202.27272727272728,203.44168614858188,10.040153286234714,22.0
Los Angeles Lakers (cyber) - Los Angeles Clippers (cyber),201.39285714285714,201.46539480545746,7.678571428571429,28.0
Los Angeles Lakers (cyber) - Memphis Grizzlies (cyber),207.16666666666666,202.18239570226305,10.459467621719321,18.0
Los Angeles Lakers (cyber) - Minnesota Timberwolves (cyber),198.12,198.2128318634046,9.168513274536183,25.0
Los Angeles Lakers (cyber) - Phoenix Suns (cyber),208.22222222222223,206.3021241185902,14.633097320156644,9.0
Los Angeles Lakers (cyber) - Sacramento Kings (cyber),205.64705882352942,209.21115337019972,10.684321182976422,17.0
Memphis Grizzlies (cyber) - Boston Celtics (cyber),199.55172413793105,200.34547781119116,7.794359773571506,29.0
Memphis Grizzlies (cyber) - Cleveland Cavaliers (cyber),199.81578947368422,200.83088239917856,8.43769351548686,38.0
Memphis Grizzlies (cyber) - Denver Nuggets (cyber),204.11111111111111,204.8709695779587,8.014336713560144,9.0
Memphis Grizzlies (cyber) - Golden State Warriors (cyber),197.3111111111111,200.29173074477956,9.884277770714126,45.0
Memphis Grizzlies (cyber) - Los Angeles Clippers (cyber),195.85714285714286,197.74994442398832,8.007150796573097,35.0
Memphis Grizzlies (cyber) - Los Angeles Lakers (cyber),203.94444444444446,202.07372255566463,8.765490685167016,36.0
Memphis Grizzlies (cyber) - Milwaukee Bucks (cyber),208.42105263157896,210.6565546551256,8.031362241362064,19.0
Memphis Grizzlies (cyber) - Minnesota Timberwolves (cyber),189.9047619047619,192.9992342471251,8.52362720169645,21.0
Memphis Grizzlies (cyber) - Philadelphia 76ers (cyber),202.86666666666667,199.70911395616042,10.658177208767905,15.0
Memphis Grizzlies (cyber) - Phoenix Suns (cyber),206.88235294117646,204.29093146696547,7.419247388182563,17.0
Memphis Grizzlies (cyber) - Sacramento Kings (cyber),208.46341463414635,207.4002608374651,7.356027580192287,41.0
Miami Heat (cyber) - Atlanta Hawks (cyber),205.53333333333333,204.75168054376883,10.049663891246245,30.0
Miami Heat (cyber) - Boston Celtics (cyber),200.09375,201.53422035131655,9.977305087829137,32.0
Miami Heat (cyber) - Brooklyn Nets (cyber),192.05714285714285,194.2678132632639,6.552544751894845,35.0
Miami Heat (cyber) - Cleveland Cavaliers (cyber),202.7741935483871,201.8153700342952,6.311666764236902,31.0
Miami Heat (cyber) - Milwaukee Bucks (cyber),213.65714285714284,213.94412138609033,10.680924690236315,35.0
Miami Heat (cyber) - New York Knicks (cyber),204.42857142857142,203.40163541147822,10.016226403378884,49.0
Miami Heat (cyber) - Philadelphia 76ers (cyber),199.9245283018868,200.9859969352026,9.980867866701939,53.0
Milwaukee Bucks (cyber) - Atlanta Hawks (cyber),219.5,218.99325806791174,9.785714285714286,28.0
Milwaukee Bucks (cyber) - Boston Celtics (cyber),215.17241379310346,214.57007818052736,7.6554983702175265,29.0
Milwaukee Bucks (cyber) - Brooklyn Nets (cyber),212.94,210.50993091715566,9.579205526627547,50.0
Milwaukee Bucks (cyber) - Cleveland Cavaliers (cyber),215.56521739130434,215.14540656525577,7.38498232324975,46.0
Milwaukee Bucks (cyber) - Denver Nuggets (cyber),222.14285714285714,220.53462263343775,9.913733157098108,7.0
Milwaukee Bucks (cyber) - Memphis Grizzlies (cyber),208.4,209.9881540846009,9.759526163384036,25.0
